REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024/06/01 00:05:00,5904.09,173.01,TRADE
QLD1,2024/06/01 00:10:00,5890.41,148.26,TRADE
QLD1,2024/06/01 00:15:00,5886.49,155.77,TRADE
QLD1,2024/06/01 00:20:00,5850.15,159.50,TRADE
QLD1,2024/06/01 00:25:00,5820.65,173,TRADE
QLD1,2024/06/01 00:30:00,5795.11,140,TRADE
QLD1,2024/06/01 00:35:00,5784.55,138.33,TRADE
QLD1,2024/06/01 00:40:00,5718.92,138.89,TRADE
QLD1,2024/06/01 00:45:00,5800.83,142.51,TRADE
QLD1,2024/06/01 00:50:00,5718.29,140.80,TRADE
QLD1,2024/06/01 00:55:00,5695.8,138.89,TRADE
QLD1,2024/06/01 01:00:00,5724.52,157.26,TRADE
QLD1,2024/06/01 01:05:00,5724.71,150.62,TRADE
QLD1,2024/06/01 01:10:00,5696.85,140.97,TRADE
QLD1,2024/06/01 01:15:00,5664.41,140.64,TRADE
QLD1,2024/06/01 01:20:00,5597.73,125.69,TRADE
QLD1,2024/06/01 01:25:00,5602.1,124.63,TRADE
QLD1,2024/06/01 01:30:00,5662.86,127.20,TRADE
QLD1,2024/06/01 01:35:00,5598.19,122.77,TRADE
QLD1,2024/06/01 01:40:00,5610.81,142.52,TRADE
QLD1,2024/06/01 01:45:00,5609.22,169.24,TRADE
QLD1,2024/06/01 01:50:00,5562.86,136.69,TRADE
QLD1,2024/06/01 01:55:00,5564.65,115.27,TRADE
QLD1,2024/06/01 02:00:00,5525.74,99.22,TRADE
QLD1,2024/06/01 02:05:00,5574.26,100.90,TRADE
QLD1,2024/06/01 02:10:00,5550.91,85.75,TRADE
QLD1,2024/06/01 02:15:00,5582.56,100.86,TRADE
QLD1,2024/06/01 02:20:00,5527.96,73.76,TRADE
QLD1,2024/06/01 02:25:00,5515.73,74.17,TRADE
QLD1,2024/06/01 02:30:00,5528.9,74.18,TRADE
QLD1,2024/06/01 02:35:00,5560.85,84.27,TRADE
QLD1,2024/06/01 02:40:00,5500.95,82.80,TRADE
QLD1,2024/06/01 02:45:00,5558.04,83.84,TRADE
QLD1,2024/06/01 02:50:00,5520.97,75.54,TRADE
QLD1,2024/06/01 02:55:00,5551.39,81.13,TRADE
QLD1,2024/06/01 03:00:00,5520.95,84.33,TRADE
QLD1,2024/06/01 03:05:00,5512.39,75.20,TRADE
QLD1,2024/06/01 03:10:00,5478.78,76,TRADE
QLD1,2024/06/01 03:15:00,5503.83,100.86,TRADE
QLD1,2024/06/01 03:20:00,5454.46,82.63,TRADE
QLD1,2024/06/01 03:25:00,5495.75,93.73,TRADE
QLD1,2024/06/01 03:30:00,5495.54,82.66,TRADE
QLD1,2024/06/01 03:35:00,5476.81,73.20,TRADE
QLD1,2024/06/01 03:40:00,5453.3,72.74,TRADE
QLD1,2024/06/01 03:45:00,5471.56,81.16,TRADE
QLD1,2024/06/01 03:50:00,5500.34,81.62,TRADE
QLD1,2024/06/01 03:55:00,5487.1,85.75,TRADE
QLD1,2024/06/01 04:00:00,5540.57,62.73,TRADE
QLD1,2024/06/01 04:05:00,5569.33,59.85,TRADE
QLD1,2024/06/01 04:10:00,5511.17,61.47,TRADE
QLD1,2024/06/01 04:15:00,5491.33,91.41,TRADE
QLD1,2024/06/01 04:20:00,5474.51,75.23,TRADE
QLD1,2024/06/01 04:25:00,5555.38,103.39,TRADE
QLD1,2024/06/01 04:30:00,5484.74,81.60,TRADE
QLD1,2024/06/01 04:35:00,5528.57,81.71,TRADE
QLD1,2024/06/01 04:40:00,5569.4,85.75,TRADE
QLD1,2024/06/01 04:45:00,5460.78,82.46,TRADE
QLD1,2024/06/01 04:50:00,5586.75,100.86,TRADE
QLD1,2024/06/01 04:55:00,5521.08,82.19,TRADE
QLD1,2024/06/01 05:00:00,5543.24,82.20,TRADE
QLD1,2024/06/01 05:05:00,5540.93,81.69,TRADE
QLD1,2024/06/01 05:10:00,5605.71,82.28,TRADE
QLD1,2024/06/01 05:15:00,5602.27,81.74,TRADE
QLD1,2024/06/01 05:20:00,5582.31,81.19,TRADE
QLD1,2024/06/01 05:25:00,5629.76,81.70,TRADE
QLD1,2024/06/01 05:30:00,5595.09,59.75,TRADE
QLD1,2024/06/01 05:35:00,5651.93,61.73,TRADE
QLD1,2024/06/01 05:40:00,5662.39,82.35,TRADE
QLD1,2024/06/01 05:45:00,5641.73,85.75,TRADE
QLD1,2024/06/01 05:50:00,5586.29,72.01,TRADE
QLD1,2024/06/01 05:55:00,5621.11,80.33,TRADE
QLD1,2024/06/01 06:00:00,5630.86,80.89,TRADE
QLD1,2024/06/01 06:05:00,5690.33,79.95,TRADE
QLD1,2024/06/01 06:10:00,5753.21,59.85,TRADE
QLD1,2024/06/01 06:15:00,5785.98,100.86,TRADE
QLD1,2024/06/01 06:20:00,5833.89,100.90,TRADE
QLD1,2024/06/01 06:25:00,5779.9,100.86,TRADE
QLD1,2024/06/01 06:30:00,5875.07,153.86,TRADE
QLD1,2024/06/01 06:35:00,5846.52,129.67,TRADE
QLD1,2024/06/01 06:40:00,5805.83,97.29,TRADE
QLD1,2024/06/01 06:45:00,5928.57,100.90,TRADE
QLD1,2024/06/01 06:50:00,5907.78,100.90,TRADE
QLD1,2024/06/01 06:55:00,5912.15,131.71,TRADE
QLD1,2024/06/01 07:00:00,5888.49,130.12,TRADE
QLD1,2024/06/01 07:05:00,5867.72,95.65,TRADE
QLD1,2024/06/01 07:10:00,5940.25,100.86,TRADE
QLD1,2024/06/01 07:15:00,5948.06,100.90,TRADE
QLD1,2024/06/01 07:20:00,6001.23,144.61,TRADE
QLD1,2024/06/01 07:25:00,6016.75,212.05,TRADE
QLD1,2024/06/01 07:30:00,6023.67,188.32,TRADE
QLD1,2024/06/01 07:35:00,6060.68,130.70,TRADE
QLD1,2024/06/01 07:40:00,6040.02,138.89,TRADE
QLD1,2024/06/01 07:45:00,5991.04,128.29,TRADE
QLD1,2024/06/01 07:50:00,6036.6,100.86,TRADE
QLD1,2024/06/01 07:55:00,6094.8,131.71,TRADE
QLD1,2024/06/01 08:00:00,6065.86,100.86,TRADE
QLD1,2024/06/01 08:05:00,6082.25,138.99,TRADE
QLD1,2024/06/01 08:10:00,6045.11,138.99,TRADE
QLD1,2024/06/01 08:15:00,6087.4,147.30,TRADE
QLD1,2024/06/01 08:20:00,6176.99,147.94,TRADE
QLD1,2024/06/01 08:25:00,6201.98,141.56,TRADE
QLD1,2024/06/01 08:30:00,6249.83,139.01,TRADE
QLD1,2024/06/01 08:35:00,6247.19,137.92,TRADE
QLD1,2024/06/01 08:40:00,6289.23,106.29,TRADE
QLD1,2024/06/01 08:45:00,6330.78,130.46,TRADE
QLD1,2024/06/01 08:50:00,6261.48,119.29,TRADE
QLD1,2024/06/01 08:55:00,6219.84,99.94,TRADE
QLD1,2024/06/01 09:00:00,6190.31,100.86,TRADE
QLD1,2024/06/01 09:05:00,6104.81,100.86,TRADE
QLD1,2024/06/01 09:10:00,6043.32,117.95,TRADE
QLD1,2024/06/01 09:15:00,6020.84,100.96,TRADE
QLD1,2024/06/01 09:20:00,6028.04,101.16,TRADE
QLD1,2024/06/01 09:25:00,6001.28,84.57,TRADE
QLD1,2024/06/01 09:30:00,6060.31,86.98,TRADE
QLD1,2024/06/01 09:35:00,6003.36,99.09,TRADE
QLD1,2024/06/01 09:40:00,6028.82,100.09,TRADE
QLD1,2024/06/01 09:45:00,6067.71,85.75,TRADE
QLD1,2024/06/01 09:50:00,5977.16,79.62,TRADE
QLD1,2024/06/01 09:55:00,5930.08,62.73,TRADE
QLD1,2024/06/01 10:00:00,5818.07,62.73,TRADE
QLD1,2024/06/01 10:05:00,5713.55,72.19,TRADE
QLD1,2024/06/01 10:10:00,5770.23,80.09,TRADE
QLD1,2024/06/01 10:15:00,5755.62,80.05,TRADE
QLD1,2024/06/01 10:20:00,5785.01,75.33,TRADE
QLD1,2024/06/01 10:25:00,5987.74,100.86,TRADE
QLD1,2024/06/01 10:30:00,6072.83,100.86,TRADE
QLD1,2024/06/01 10:35:00,5969.32,100.86,TRADE
QLD1,2024/06/01 10:40:00,6141.26,105.55,TRADE
QLD1,2024/06/01 10:45:00,6086.83,100.86,TRADE
QLD1,2024/06/01 10:50:00,6125.07,100.90,TRADE
QLD1,2024/06/01 10:55:00,6174.28,119.12,TRADE
QLD1,2024/06/01 11:00:00,6160.33,120.26,TRADE
QLD1,2024/06/01 11:05:00,6138.74,106.26,TRADE
QLD1,2024/06/01 11:10:00,6151.15,106.30,TRADE
QLD1,2024/06/01 11:15:00,6127.9,106.25,TRADE
QLD1,2024/06/01 11:20:00,6038.76,100.86,TRADE
QLD1,2024/06/01 11:25:00,6166.07,107.63,TRADE
QLD1,2024/06/01 11:30:00,6143.02,100.76,TRADE
QLD1,2024/06/01 11:35:00,6116.66,100.86,TRADE
QLD1,2024/06/01 11:40:00,6183.33,253.09,TRADE
QLD1,2024/06/01 11:45:00,6225.82,255.09,TRADE
QLD1,2024/06/01 11:50:00,6217.46,63.20,TRADE
QLD1,2024/06/01 11:55:00,6210.16,75.44,TRADE
QLD1,2024/06/01 12:00:00,6220.22,100.86,TRADE
QLD1,2024/06/01 12:05:00,6237.47,119.01,TRADE
QLD1,2024/06/01 12:10:00,6230.12,228.55,TRADE
QLD1,2024/06/01 12:15:00,6260.8,232.47,TRADE
QLD1,2024/06/01 12:20:00,6271.35,246.45,TRADE
QLD1,2024/06/01 12:25:00,6238.57,241.58,TRADE
QLD1,2024/06/01 12:30:00,6168.31,228.55,TRADE
QLD1,2024/06/01 12:35:00,6196.77,144.61,TRADE
QLD1,2024/06/01 12:40:00,6164.33,81.45,TRADE
QLD1,2024/06/01 12:45:00,6053.99,111.72,TRADE
QLD1,2024/06/01 12:50:00,6078.03,100.86,TRADE
QLD1,2024/06/01 12:55:00,6042.39,75.52,TRADE
QLD1,2024/06/01 13:00:00,6081.57,81.50,TRADE
QLD1,2024/06/01 13:05:00,6011.91,115.46,TRADE
QLD1,2024/06/01 13:10:00,6030.99,247.56,TRADE
QLD1,2024/06/01 13:15:00,6066.05,105.75,TRADE
QLD1,2024/06/01 13:20:00,6034.89,118.32,TRADE
QLD1,2024/06/01 13:25:00,6040.02,119.73,TRADE
QLD1,2024/06/01 13:30:00,6113.13,228.55,TRADE
QLD1,2024/06/01 13:35:00,6150.92,100.86,TRADE
QLD1,2024/06/01 13:40:00,6161.33,103.79,TRADE
QLD1,2024/06/01 13:45:00,6206.88,155.25,TRADE
QLD1,2024/06/01 13:50:00,6288.47,182.22,TRADE
QLD1,2024/06/01 13:55:00,6320.52,157.46,TRADE
QLD1,2024/06/01 14:00:00,6338.08,201.09,TRADE
QLD1,2024/06/01 14:05:00,6379.59,107.53,TRADE
QLD1,2024/06/01 14:10:00,6370.82,105.30,TRADE
QLD1,2024/06/01 14:15:00,6286.27,136.27,TRADE
QLD1,2024/06/01 14:20:00,6324.53,114.81,TRADE
QLD1,2024/06/01 14:25:00,6334.54,100.86,TRADE
QLD1,2024/06/01 14:30:00,6413.99,103.17,TRADE
QLD1,2024/06/01 14:35:00,6441.71,115.78,TRADE
QLD1,2024/06/01 14:40:00,6476.35,154.99,TRADE
QLD1,2024/06/01 14:45:00,6518.03,143.15,TRADE
QLD1,2024/06/01 14:50:00,6491.98,159.86,TRADE
QLD1,2024/06/01 14:55:00,6549.5,153.64,TRADE
QLD1,2024/06/01 15:00:00,6516.18,125.91,TRADE
QLD1,2024/06/01 15:05:00,6548.2,120.99,TRADE
QLD1,2024/06/01 15:10:00,6556.61,118.53,TRADE
QLD1,2024/06/01 15:15:00,6610.09,116.76,TRADE
QLD1,2024/06/01 15:20:00,6587.93,85.75,TRADE
QLD1,2024/06/01 15:25:00,6691.46,84.99,TRADE
QLD1,2024/06/01 15:30:00,6759.84,110.32,TRADE
QLD1,2024/06/01 15:35:00,6754.86,109.61,TRADE
QLD1,2024/06/01 15:40:00,6843.73,115.81,TRADE
QLD1,2024/06/01 15:45:00,6893.16,115.75,TRADE
QLD1,2024/06/01 15:50:00,6871.71,116.38,TRADE
QLD1,2024/06/01 15:55:00,6916.63,174.47,TRADE
QLD1,2024/06/01 16:00:00,6949.63,185.38,TRADE
QLD1,2024/06/01 16:05:00,6904.23,228.55,TRADE
QLD1,2024/06/01 16:10:00,6951.53,178.35,TRADE
QLD1,2024/06/01 16:15:00,7042.27,158.56,TRADE
QLD1,2024/06/01 16:20:00,7031.79,146.64,TRADE
QLD1,2024/06/01 16:25:00,6994.27,174.83,TRADE
QLD1,2024/06/01 16:30:00,7074.59,268.95,TRADE
QLD1,2024/06/01 16:35:00,7138.1,194.01,TRADE
QLD1,2024/06/01 16:40:00,7205.08,170.16,TRADE
QLD1,2024/06/01 16:45:00,7189.39,230.58,TRADE
QLD1,2024/06/01 16:50:00,7204.28,171.55,TRADE
QLD1,2024/06/01 16:55:00,7291.92,236.65,TRADE
QLD1,2024/06/01 17:00:00,7341.62,178.97,TRADE
QLD1,2024/06/01 17:05:00,7482.77,172.92,TRADE
QLD1,2024/06/01 17:10:00,7411.77,145.89,TRADE
QLD1,2024/06/01 17:15:00,7476.92,242.27,TRADE
QLD1,2024/06/01 17:20:00,7530.34,165.73,TRADE
QLD1,2024/06/01 17:25:00,7528.05,169.64,TRADE
QLD1,2024/06/01 17:30:00,7573.74,190.74,TRADE
QLD1,2024/06/01 17:35:00,7568.93,182.02,TRADE
QLD1,2024/06/01 17:40:00,7523.52,169.54,TRADE
QLD1,2024/06/01 17:45:00,7540.17,174.65,TRADE
QLD1,2024/06/01 17:50:00,7584.69,160.92,TRADE
QLD1,2024/06/01 17:55:00,7479.84,158.47,TRADE
QLD1,2024/06/01 18:00:00,7541.81,215.98,TRADE
QLD1,2024/06/01 18:05:00,7451.66,146.73,TRADE
QLD1,2024/06/01 18:10:00,7490.32,142.73,TRADE
QLD1,2024/06/01 18:15:00,7446.69,145.88,TRADE
QLD1,2024/06/01 18:20:00,7430.55,153.71,TRADE
QLD1,2024/06/01 18:25:00,7372.87,155.39,TRADE
QLD1,2024/06/01 18:30:00,7328.7,138.89,TRADE
QLD1,2024/06/01 18:35:00,7352.79,150.77,TRADE
QLD1,2024/06/01 18:40:00,7199.69,141.07,TRADE
QLD1,2024/06/01 18:45:00,7277.1,144.36,TRADE
QLD1,2024/06/01 18:50:00,7224.53,145.26,TRADE
QLD1,2024/06/01 18:55:00,7193.11,147.37,TRADE
QLD1,2024/06/01 19:00:00,7227.78,133.01,TRADE
QLD1,2024/06/01 19:05:00,7188.61,145.10,TRADE
QLD1,2024/06/01 19:10:00,7149.49,146.28,TRADE
QLD1,2024/06/01 19:15:00,7116.08,133.01,TRADE
QLD1,2024/06/01 19:20:00,7138.63,135.15,TRADE
QLD1,2024/06/01 19:25:00,7038.59,116.62,TRADE
QLD1,2024/06/01 19:30:00,7046.71,125.09,TRADE
QLD1,2024/06/01 19:35:00,6972.49,155.59,TRADE
QLD1,2024/06/01 19:40:00,6964.89,196.03,TRADE
QLD1,2024/06/01 19:45:00,7009.44,144.11,TRADE
QLD1,2024/06/01 19:50:00,7032.93,142.99,TRADE
QLD1,2024/06/01 19:55:00,7031.36,161.12,TRADE
QLD1,2024/06/01 20:00:00,7036.85,135.15,TRADE
QLD1,2024/06/01 20:05:00,7018.48,159.61,TRADE
QLD1,2024/06/01 20:10:00,7017.94,143.61,TRADE
QLD1,2024/06/01 20:15:00,7023.4,144.93,TRADE
QLD1,2024/06/01 20:20:00,7091.46,193.43,TRADE
QLD1,2024/06/01 20:25:00,6920.36,133.01,TRADE
QLD1,2024/06/01 20:30:00,6884.69,133.01,TRADE
QLD1,2024/06/01 20:35:00,6887.59,146.72,TRADE
QLD1,2024/06/01 20:40:00,6816.89,160.97,TRADE
QLD1,2024/06/01 20:45:00,6816.6,160.66,TRADE
QLD1,2024/06/01 20:50:00,6803.43,144.23,TRADE
QLD1,2024/06/01 20:55:00,6703.27,121.41,TRADE
QLD1,2024/06/01 21:00:00,6759.94,141.93,TRADE
QLD1,2024/06/01 21:05:00,6739.9,159.66,TRADE
QLD1,2024/06/01 21:10:00,6685.64,175.78,TRADE
QLD1,2024/06/01 21:15:00,6733.05,203.94,TRADE
QLD1,2024/06/01 21:20:00,6630.27,133.91,TRADE
QLD1,2024/06/01 21:25:00,6548.75,119.61,TRADE
QLD1,2024/06/01 21:30:00,6598.23,129.66,TRADE
QLD1,2024/06/01 21:35:00,6533.56,133.01,TRADE
QLD1,2024/06/01 21:40:00,6448.6,120.41,TRADE
QLD1,2024/06/01 21:45:00,6438.82,119.42,TRADE
QLD1,2024/06/01 21:50:00,6394.91,118.93,TRADE
QLD1,2024/06/01 21:55:00,6347.34,114.88,TRADE
QLD1,2024/06/01 22:00:00,6346.37,110.40,TRADE
QLD1,2024/06/01 22:05:00,6315.36,125.03,TRADE
QLD1,2024/06/01 22:10:00,6304.82,159.60,TRADE
QLD1,2024/06/01 22:15:00,6236.12,167.83,TRADE
QLD1,2024/06/01 22:20:00,6307.04,175.31,TRADE
QLD1,2024/06/01 22:25:00,6275.05,171.05,TRADE
QLD1,2024/06/01 22:30:00,6221.57,136.62,TRADE
QLD1,2024/06/01 22:35:00,6194.48,133.16,TRADE
QLD1,2024/06/01 22:40:00,6228.87,138.69,TRADE
QLD1,2024/06/01 22:45:00,6188.51,133.01,TRADE
QLD1,2024/06/01 22:50:00,6212.38,132.85,TRADE
QLD1,2024/06/01 22:55:00,6165.83,130.15,TRADE
QLD1,2024/06/01 23:00:00,6107.41,102.23,TRADE
QLD1,2024/06/01 23:05:00,6069.23,126.18,TRADE
QLD1,2024/06/01 23:10:00,6128.32,129.25,TRADE
QLD1,2024/06/01 23:15:00,6028.45,129.01,TRADE
QLD1,2024/06/01 23:20:00,5967.26,124.02,TRADE
QLD1,2024/06/01 23:25:00,5954.56,100.86,TRADE
QLD1,2024/06/01 23:30:00,5912.7,125.29,TRADE
QLD1,2024/06/01 23:35:00,5842.3,100.86,TRADE
QLD1,2024/06/01 23:40:00,5891.09,123.39,TRADE
QLD1,2024/06/01 23:45:00,5922.69,101.66,TRADE
QLD1,2024/06/01 23:50:00,5865.51,99.83,TRADE
QLD1,2024/06/01 23:55:00,5868.27,97.11,TRADE
QLD1,2024/06/02 00:00:00,5836.87,95.29,TRADE
QLD1,2024/06/02 00:05:00,5768.11,79.81,TRADE
QLD1,2024/06/02 00:10:00,5783.37,97.34,TRADE
QLD1,2024/06/02 00:15:00,5771.98,97.39,TRADE
QLD1,2024/06/02 00:20:00,5669.56,70.52,TRADE
QLD1,2024/06/02 00:25:00,5618.22,69.71,TRADE
QLD1,2024/06/02 00:30:00,5642.75,94.46,TRADE
QLD1,2024/06/02 00:35:00,5601.54,85.75,TRADE
QLD1,2024/06/02 00:40:00,5647.74,97.33,TRADE
QLD1,2024/06/02 00:45:00,5606.83,93.72,TRADE
QLD1,2024/06/02 00:50:00,5650.12,96.86,TRADE
QLD1,2024/06/02 00:55:00,5574.17,78.28,TRADE
QLD1,2024/06/02 01:00:00,5597.23,81.45,TRADE
QLD1,2024/06/02 01:05:00,5534.1,89.45,TRADE
QLD1,2024/06/02 01:10:00,5557.3,97.58,TRADE
QLD1,2024/06/02 01:15:00,5566.06,88.15,TRADE
QLD1,2024/06/02 01:20:00,5577.19,95.96,TRADE
QLD1,2024/06/02 01:25:00,5546.87,85.75,TRADE
QLD1,2024/06/02 01:30:00,5490.37,77.28,TRADE
QLD1,2024/06/02 01:35:00,5560.14,82.72,TRADE
QLD1,2024/06/02 01:40:00,5508.31,88.55,TRADE
QLD1,2024/06/02 01:45:00,5510.68,79.96,TRADE
