REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024/03/01 00:05:00,6668.18,92.13,TRADE
QLD1,2024/03/01 00:10:00,6578.67,92.76,TRADE
QLD1,2024/03/01 00:15:00,6599.19,96.39,TRADE
QLD1,2024/03/01 00:20:00,6555.26,85.75,TRADE
QLD1,2024/03/01 00:25:00,6558.52,92.03,TRADE
QLD1,2024/03/01 00:30:00,6479.78,92.88,TRADE
QLD1,2024/03/01 00:35:00,6408.19,91.25,TRADE
QLD1,2024/03/01 00:40:00,6486.27,92.42,TRADE
QLD1,2024/03/01 00:45:00,6422.32,92.26,TRADE
QLD1,2024/03/01 00:50:00,6390.61,92.33,TRADE
QLD1,2024/03/01 00:55:00,6427.04,100.75,TRADE
QLD1,2024/03/01 01:00:00,6465.4,98.83,TRADE
QLD1,2024/03/01 01:05:00,6393.03,85.75,TRADE
QLD1,2024/03/01 01:10:00,6362.82,92.77,TRADE
QLD1,2024/03/01 01:15:00,6375.24,102.31,TRADE
QLD1,2024/03/01 01:20:00,6365.85,104.57,TRADE
QLD1,2024/03/01 01:25:00,6385.75,118.69,TRADE
QLD1,2024/03/01 01:30:00,6338.54,114.80,TRADE
QLD1,2024/03/01 01:35:00,6373.86,104.57,TRADE
QLD1,2024/03/01 01:40:00,6276.74,100.80,TRADE
QLD1,2024/03/01 01:45:00,6289.92,101.07,TRADE
QLD1,2024/03/01 01:50:00,6219.92,98.07,TRADE
QLD1,2024/03/01 01:55:00,6250.54,97.57,TRADE
QLD1,2024/03/01 02:00:00,6210.04,92.10,TRADE
QLD1,2024/03/01 02:05:00,6211.98,94.79,TRADE
QLD1,2024/03/01 02:10:00,6248.31,98.99,TRADE
QLD1,2024/03/01 02:15:00,6184.6,94.69,TRADE
QLD1,2024/03/01 02:20:00,6196.01,96.40,TRADE
QLD1,2024/03/01 02:25:00,6247.45,98.82,TRADE
QLD1,2024/03/01 02:30:00,6185.21,97.57,TRADE
