REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024/02/01 00:05:00,6502.01,69.61,TRADE
QLD1,2024/02/01 00:10:00,6488.96,70.23,TRADE
QLD1,2024/02/01 00:15:00,6473.11,79.41,TRADE
QLD1,2024/02/01 00:20:00,6445.95,76.13,TRADE
QLD1,2024/02/01 00:25:00,6449.6,76.41,TRADE
QLD1,2024/02/01 00:30:00,6344.71,65.68,TRADE
QLD1,2024/02/01 00:35:00,6367.73,84.50,TRADE
QLD1,2024/02/01 00:40:00,6281.28,85.27,TRADE
QLD1,2024/02/01 00:45:00,6267.53,67.31,TRADE
QLD1,2024/02/01 00:50:00,6278.89,84.52,TRADE
QLD1,2024/02/01 00:55:00,6226.48,76.75,TRADE
QLD1,2024/02/01 01:00:00,6214.69,77.20,TRADE
QLD1,2024/02/01 01:05:00,6222.63,79.63,TRADE
QLD1,2024/02/01 01:10:00,6260.44,78.10,TRADE
QLD1,2024/02/01 01:15:00,6270.74,78.03,TRADE
QLD1,2024/02/01 01:20:00,6219.85,77.02,TRADE
QLD1,2024/02/01 01:25:00,6202.23,67.50,TRADE
QLD1,2024/02/01 01:30:00,6207.83,72.22,TRADE
QLD1,2024/02/01 01:35:00,6190.89,76.45,TRADE
QLD1,2024/02/01 01:40:00,6227,96.25,TRADE
QLD1,2024/02/01 01:45:00,6160.67,85.75,TRADE
QLD1,2024/02/01 01:50:00,6132.43,77.28,TRADE
QLD1,2024/02/01 01:55:00,6134.83,76.78,TRADE
QLD1,2024/02/01 02:00:00,6098,76.24,TRADE
QLD1,2024/02/01 02:05:00,6143.65,85.75,TRADE
QLD1,2024/02/01 02:10:00,6054.03,76.16,TRADE
QLD1,2024/02/01 02:15:00,6077.14,76.64,TRADE
QLD1,2024/02/01 02:20:00,6146.1,77.66,TRADE
QLD1,2024/02/01 02:25:00,6033.42,76.25,TRADE
QLD1,2024/02/01 02:30:00,6067.33,72.48,TRADE
QLD1,2024/02/01 02:35:00,6083.78,76.62,TRADE
QLD1,2024/02/01 02:40:00,6033.42,69.80,TRADE
QLD1,2024/02/01 02:45:00,6052.57,76.09,TRADE
QLD1,2024/02/01 02:50:00,6068.73,76.12,TRADE
QLD1,2024/02/01 02:55:00,6047.44,70.22,TRADE
QLD1,2024/02/01 03:00:00,6001.07,66.70,TRADE
QLD1,2024/02/01 03:05:00,5992.48,69.73,TRADE
QLD1,2024/02/01 03:10:00,6075.73,76.62,TRADE
QLD1,2024/02/01 03:15:00,6010.96,76.08,TRADE
QLD1,2024/02/01 03:20:00,6006.88,76.08,TRADE
QLD1,2024/02/01 03:25:00,6013.06,76.10,TRADE
QLD1,2024/02/01 03:30:00,6010.97,76.10,TRADE
QLD1,2024/02/01 03:35:00,5953.14,68.57,TRADE
QLD1,2024/02/01 03:40:00,6030.09,69.80,TRADE
QLD1,2024/02/01 03:45:00,5995.52,69.75,TRADE
QLD1,2024/02/01 03:50:00,6030.98,70.23,TRADE
QLD1,2024/02/01 03:55:00,5949.45,68.86,TRADE
QLD1,2024/02/01 04:00:00,5999.98,69.78,TRADE
QLD1,2024/02/01 04:05:00,6018.4,75.65,TRADE
QLD1,2024/02/01 04:10:00,5998.3,86.52,TRADE
QLD1,2024/02/01 04:15:00,6054.09,85.75,TRADE
QLD1,2024/02/01 04:20:00,6025.72,85.75,TRADE
QLD1,2024/02/01 04:25:00,6065.16,85.75,TRADE
QLD1,2024/02/01 04:30:00,6064.26,97.68,TRADE
QLD1,2024/02/01 04:35:00,6074.29,85.55,TRADE
QLD1,2024/02/01 04:40:00,6096.85,86.32,TRADE
QLD1,2024/02/01 04:45:00,6079.77,85.75,TRADE
QLD1,2024/02/01 04:50:00,6070.87,85.75,TRADE
QLD1,2024/02/01 04:55:00,6129.65,93.75,TRADE
QLD1,2024/02/01 05:00:00,6200.64,93.75,TRADE
QLD1,2024/02/01 05:05:00,6165.05,85.55,TRADE
QLD1,2024/02/01 05:10:00,6240.53,93.75,TRADE
QLD1,2024/02/01 05:15:00,6261.97,98.05,TRADE
QLD1,2024/02/01 05:20:00,6301.52,98.80,TRADE
QLD1,2024/02/01 05:25:00,6307.18,103.23,TRADE
QLD1,2024/02/01 05:30:00,6323.12,109.71,TRADE
QLD1,2024/02/01 05:35:00,6332.73,109.28,TRADE
QLD1,2024/02/01 05:40:00,6441.96,111.56,TRADE
QLD1,2024/02/01 05:45:00,6393.06,110.16,TRADE
QLD1,2024/02/01 05:50:00,6357.01,108.82,TRADE
QLD1,2024/02/01 05:55:00,6360.8,108.22,TRADE
QLD1,2024/02/01 06:00:00,6415.16,94.87,TRADE
QLD1,2024/02/01 06:05:00,6524.15,97.58,TRADE
QLD1,2024/02/01 06:10:00,6522.25,96.45,TRADE
QLD1,2024/02/01 06:15:00,6554.69,92.90,TRADE
QLD1,2024/02/01 06:20:00,6623.72,93.25,TRADE
QLD1,2024/02/01 06:25:00,6628.57,79.02,TRADE
QLD1,2024/02/01 06:30:00,6644.1,65.81,TRADE
QLD1,2024/02/01 06:35:00,6622.4,71.95,TRADE
QLD1,2024/02/01 06:40:00,6601.33,67.45,TRADE
QLD1,2024/02/01 06:45:00,6681.68,62.73,TRADE
QLD1,2024/02/01 06:50:00,6659.2,54.75,TRADE
QLD1,2024/02/01 06:55:00,6653.53,62.45,TRADE
QLD1,2024/02/01 07:00:00,6622.62,60.88,TRADE
QLD1,2024/02/01 07:05:00,6627.2,65.31,TRADE
QLD1,2024/02/01 07:10:00,6729.06,88.81,TRADE
QLD1,2024/02/01 07:15:00,6695.35,85.55,TRADE
QLD1,2024/02/01 07:20:00,6671.78,63.81,TRADE
QLD1,2024/02/01 07:25:00,6666.1,58.20,TRADE
QLD1,2024/02/01 07:30:00,6670.94,58.18,TRADE
