REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024/04/01 00:05:00,5857.74,59.66,TRADE
QLD1,2024/04/01 00:10:00,5870.65,59.75,TRADE
QLD1,2024/04/01 00:15:00,5749.58,59.21,TRADE
QLD1,2024/04/01 00:20:00,5836.45,59.60,TRADE
QLD1,2024/04/01 00:25:00,5802.74,58.49,TRADE
QLD1,2024/04/01 00:30:00,5736.04,48.75,TRADE
QLD1,2024/04/01 00:35:00,5728.87,48.75,TRADE
QLD1,2024/04/01 00:40:00,5747.15,58.04,TRADE
QLD1,2024/04/01 00:45:00,5670.18,49.77,TRADE
QLD1,2024/04/01 00:50:00,5697.95,49.73,TRADE
QLD1,2024/04/01 00:55:00,5695.79,49.72,TRADE
QLD1,2024/04/01 01:00:00,5693.89,56.40,TRADE
QLD1,2024/04/01 01:05:00,5642.7,58.13,TRADE
QLD1,2024/04/01 01:10:00,5659.29,58.10,TRADE
QLD1,2024/04/01 01:15:00,5631.07,58.44,TRADE
QLD1,2024/04/01 01:20:00,5622.01,59.55,TRADE
QLD1,2024/04/01 01:25:00,5613.25,59.55,TRADE
QLD1,2024/04/01 01:30:00,5634.04,58.01,TRADE
QLD1,2024/04/01 01:35:00,5613.2,58.38,TRADE
QLD1,2024/04/01 01:40:00,5601.25,59.75,TRADE
QLD1,2024/04/01 01:45:00,5630.51,59.75,TRADE
QLD1,2024/04/01 01:50:00,5601.14,58.32,TRADE
QLD1,2024/04/01 01:55:00,5564.57,57.93,TRADE
QLD1,2024/04/01 02:00:00,5561.08,58.28,TRADE
QLD1,2024/04/01 02:05:00,5617.14,59.55,TRADE
QLD1,2024/04/01 02:10:00,5589.57,59.75,TRADE
QLD1,2024/04/01 02:15:00,5596.31,59.55,TRADE
QLD1,2024/04/01 02:20:00,5546.91,58.26,TRADE
QLD1,2024/04/01 02:25:00,5539.71,59.55,TRADE
QLD1,2024/04/01 02:30:00,5569.47,59.75,TRADE
QLD1,2024/04/01 02:35:00,5531.81,59.75,TRADE
QLD1,2024/04/01 02:40:00,5498.01,58.20,TRADE
QLD1,2024/04/01 02:45:00,5504,58.20,TRADE
QLD1,2024/04/01 02:50:00,5490.43,59.55,TRADE
QLD1,2024/04/01 02:55:00,5541.64,59.75,TRADE
QLD1,2024/04/01 03:00:00,5540.33,59.55,TRADE
QLD1,2024/04/01 03:05:00,5531.16,59.55,TRADE
QLD1,2024/04/01 03:10:00,5533.84,58.98,TRADE
QLD1,2024/04/01 03:15:00,5496.53,58.55,TRADE
QLD1,2024/04/01 03:20:00,5572.99,59.55,TRADE
QLD1,2024/04/01 03:25:00,5518.93,59.55,TRADE
QLD1,2024/04/01 03:30:00,5556.33,59.75,TRADE
QLD1,2024/04/01 03:35:00,5521.09,59.75,TRADE
QLD1,2024/04/01 03:40:00,5485.76,59.55,TRADE
QLD1,2024/04/01 03:45:00,5466.78,59.55,TRADE
QLD1,2024/04/01 03:50:00,5482.46,50.70,TRADE
QLD1,2024/04/01 03:55:00,5486.33,50.38,TRADE
QLD1,2024/04/01 04:00:00,5466.98,49.72,TRADE
QLD1,2024/04/01 04:05:00,5510.15,57.55,TRADE
QLD1,2024/04/01 04:10:00,5531.36,59.75,TRADE
QLD1,2024/04/01 04:15:00,5545.9,58.82,TRADE
QLD1,2024/04/01 04:20:00,5565.55,59.04,TRADE
QLD1,2024/04/01 04:25:00,5516.93,58.60,TRADE
QLD1,2024/04/01 04:30:00,5547.67,59.75,TRADE
QLD1,2024/04/01 04:35:00,5528.72,58.63,TRADE
QLD1,2024/04/01 04:40:00,5478.35,59.55,TRADE
QLD1,2024/04/01 04:45:00,5481.77,58.25,TRADE
QLD1,2024/04/01 04:50:00,5472.75,59.55,TRADE
