REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024/08/01 00:05:00,6073.03,192.21,TRADE
QLD1,2024/08/01 00:10:00,6022.54,199.77,TRADE
QLD1,2024/08/01 00:15:00,6093.87,206.96,TRADE
QLD1,2024/08/01 00:20:00,6038.99,202.02,TRADE
QLD1,2024/08/01 00:25:00,5924.46,203.87,TRADE
QLD1,2024/08/01 00:30:00,5968.33,206.57,TRADE
QLD1,2024/08/01 00:35:00,5964.92,218.58,TRADE
QLD1,2024/08/01 00:40:00,5979.23,228.75,TRADE
QLD1,2024/08/01 00:45:00,5944.24,215.18,TRADE
QLD1,2024/08/01 00:50:00,5929.2,203.81,TRADE
QLD1,2024/08/01 00:55:00,5881.49,187.01,TRADE
QLD1,2024/08/01 01:00:00,5918.85,202.45,TRADE
QLD1,2024/08/01 01:05:00,5924.63,175.89,TRADE
QLD1,2024/08/01 01:10:00,5801.01,149.10,TRADE
QLD1,2024/08/01 01:15:00,5823.32,212.72,TRADE
QLD1,2024/08/01 01:20:00,5764.87,180.95,TRADE
QLD1,2024/08/01 01:25:00,5718.83,147.73,TRADE
QLD1,2024/08/01 01:30:00,5743.92,149.26,TRADE
QLD1,2024/08/01 01:35:00,5729.22,144.87,TRADE
QLD1,2024/08/01 01:40:00,5764.03,238.10,TRADE
QLD1,2024/08/01 01:45:00,5737.67,150.12,TRADE
QLD1,2024/08/01 01:50:00,5684.27,140.40,TRADE
QLD1,2024/08/01 01:55:00,5675.44,184.34,TRADE
QLD1,2024/08/01 02:00:00,5694.41,135.32,TRADE
QLD1,2024/08/01 02:05:00,5676.52,136.96,TRADE
QLD1,2024/08/01 02:10:00,5680.99,169.84,TRADE
QLD1,2024/08/01 02:15:00,5686.35,160.91,TRADE
QLD1,2024/08/01 02:20:00,5676.83,147.73,TRADE
QLD1,2024/08/01 02:25:00,5638.69,147.73,TRADE
QLD1,2024/08/01 02:30:00,5712.88,147.73,TRADE
QLD1,2024/08/01 02:35:00,5668.3,221.19,TRADE
QLD1,2024/08/01 02:40:00,5670.74,188.37,TRADE
QLD1,2024/08/01 02:45:00,5639.89,188.02,TRADE
QLD1,2024/08/01 02:50:00,5676.75,180.91,TRADE
QLD1,2024/08/01 02:55:00,5649.7,172.86,TRADE
QLD1,2024/08/01 03:00:00,5619.49,176.66,TRADE
QLD1,2024/08/01 03:05:00,5697.84,182.16,TRADE
QLD1,2024/08/01 03:10:00,5686.12,176.54,TRADE
QLD1,2024/08/01 03:15:00,5673.91,177.87,TRADE
QLD1,2024/08/01 03:20:00,5714.25,180.30,TRADE
QLD1,2024/08/01 03:25:00,5704.75,180.28,TRADE
QLD1,2024/08/01 03:30:00,5681.13,147.73,TRADE
QLD1,2024/08/01 03:35:00,5671.9,142.28,TRADE
QLD1,2024/08/01 03:40:00,5756.87,163.77,TRADE
QLD1,2024/08/01 03:45:00,5682.53,162.38,TRADE
QLD1,2024/08/01 03:50:00,5722.81,163.58,TRADE
QLD1,2024/08/01 03:55:00,5704.04,163.68,TRADE
QLD1,2024/08/01 04:00:00,5744.08,186.34,TRADE
QLD1,2024/08/01 04:05:00,5732.62,154.26,TRADE
QLD1,2024/08/01 04:10:00,5769.16,181.49,TRADE
QLD1,2024/08/01 04:15:00,5876.19,187.54,TRADE
QLD1,2024/08/01 04:20:00,5871.56,200.36,TRADE
QLD1,2024/08/01 04:25:00,5883.49,191.47,TRADE
QLD1,2024/08/01 04:30:00,5869.95,224.64,TRADE
QLD1,2024/08/01 04:35:00,5949.95,180.95,TRADE
QLD1,2024/08/01 04:40:00,5981.03,184.89,TRADE
QLD1,2024/08/01 04:45:00,6048.33,187.72,TRADE
QLD1,2024/08/01 04:50:00,6081.34,188.48,TRADE
QLD1,2024/08/01 04:55:00,6083.99,194.89,TRADE
QLD1,2024/08/01 05:00:00,6129.57,260.16,TRADE
QLD1,2024/08/01 05:05:00,6210.87,185.30,TRADE
QLD1,2024/08/01 05:10:00,6283.2,228.01,TRADE
QLD1,2024/08/01 05:15:00,6369.67,258.82,TRADE
QLD1,2024/08/01 05:20:00,6340.21,264.26,TRADE
QLD1,2024/08/01 05:25:00,6418.58,260.94,TRADE
QLD1,2024/08/01 05:30:00,6509.74,284.95,TRADE
QLD1,2024/08/01 05:35:00,6495.64,193.50,TRADE
QLD1,2024/08/01 05:40:00,6543.21,196.87,TRADE
