REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024/01/01 00:05:00,6228.31,65.49,TRADE
QLD1,2024/01/01 00:10:00,6225.45,79.41,TRADE
QLD1,2024/01/01 00:15:00,6233.57,65.48,TRADE
QLD1,2024/01/01 00:20:00,6189.11,61.60,TRADE
QLD1,2024/01/01 00:25:00,6196.36,61.54,TRADE
QLD1,2024/01/01 00:30:00,6187.65,64.52,TRADE
QLD1,2024/01/01 00:35:00,6152.88,62.54,TRADE
QLD1,2024/01/01 00:40:00,6165.72,61.27,TRADE
QLD1,2024/01/01 00:45:00,6143.56,60.74,TRADE
QLD1,2024/01/01 00:50:00,6167.48,60.86,TRADE
QLD1,2024/01/01 00:55:00,6187.96,61.09,TRADE
QLD1,2024/01/01 01:00:00,6129.02,54.75,TRADE
QLD1,2024/01/01 01:05:00,6117.35,49.55,TRADE
QLD1,2024/01/01 01:10:00,6130.87,54.75,TRADE
QLD1,2024/01/01 01:15:00,6144.42,54.55,TRADE
QLD1,2024/01/01 01:20:00,6103.48,54.55,TRADE
QLD1,2024/01/01 01:25:00,6109.87,54.55,TRADE
QLD1,2024/01/01 01:30:00,6067.1,54.75,TRADE
QLD1,2024/01/01 01:35:00,6056.02,59.34,TRADE
QLD1,2024/01/01 01:40:00,6042.97,54.75,TRADE
QLD1,2024/01/01 01:45:00,6008.45,44.36,TRADE
QLD1,2024/01/01 01:50:00,6060.24,46.63,TRADE
QLD1,2024/01/01 01:55:00,5995.79,39.86,TRADE
QLD1,2024/01/01 02:00:00,5961.49,45.73,TRADE
QLD1,2024/01/01 02:05:00,5936.99,48.23,TRADE
QLD1,2024/01/01 02:10:00,5933.63,49.55,TRADE
QLD1,2024/01/01 02:15:00,5924.73,54.55,TRADE
QLD1,2024/01/01 02:20:00,5868.95,54.55,TRADE
QLD1,2024/01/01 02:25:00,5886.54,54.55,TRADE
QLD1,2024/01/01 02:30:00,5819.7,54.55,TRADE
QLD1,2024/01/01 02:35:00,5852.53,55.79,TRADE
QLD1,2024/01/01 02:40:00,5900.57,59.08,TRADE
QLD1,2024/01/01 02:45:00,5841.83,58.16,TRADE
QLD1,2024/01/01 02:50:00,5834.78,55.33,TRADE
QLD1,2024/01/01 02:55:00,5834.16,54.55,TRADE
QLD1,2024/01/01 03:00:00,5792.04,43.80,TRADE
QLD1,2024/01/01 03:05:00,5775.02,49.55,TRADE
QLD1,2024/01/01 03:10:00,5751.38,49.55,TRADE
QLD1,2024/01/01 03:15:00,5787.74,49.55,TRADE
QLD1,2024/01/01 03:20:00,5804.97,54.55,TRADE
QLD1,2024/01/01 03:25:00,5769.55,49.55,TRADE
QLD1,2024/01/01 03:30:00,5755.46,54.55,TRADE
QLD1,2024/01/01 03:35:00,5739.84,54.55,TRADE
QLD1,2024/01/01 03:40:00,5726.99,54.55,TRADE
QLD1,2024/01/01 03:45:00,5735.05,49.55,TRADE
QLD1,2024/01/01 03:50:00,5713.95,54.55,TRADE
QLD1,2024/01/01 03:55:00,5763.87,54.75,TRADE
QLD1,2024/01/01 04:00:00,5757.51,59.62,TRADE
QLD1,2024/01/01 04:05:00,5795.57,54.75,TRADE
QLD1,2024/01/01 04:10:00,5744.67,42.73,TRADE
QLD1,2024/01/01 04:15:00,5748.67,42.82,TRADE
QLD1,2024/01/01 04:20:00,5703,41.44,TRADE
QLD1,2024/01/01 04:25:00,5759.97,49.55,TRADE
QLD1,2024/01/01 04:30:00,5759.61,49.55,TRADE
QLD1,2024/01/01 04:35:00,5718.38,42.37,TRADE
QLD1,2024/01/01 04:40:00,5730.67,41.68,TRADE
QLD1,2024/01/01 04:45:00,5737.42,39.41,TRADE
QLD1,2024/01/01 04:50:00,5694.32,38.89,TRADE
QLD1,2024/01/01 04:55:00,5677.62,38.88,TRADE
QLD1,2024/01/01 05:00:00,5694.39,38.90,TRADE
QLD1,2024/01/01 05:05:00,5686.93,42.12,TRADE
QLD1,2024/01/01 05:10:00,5701.88,42.56,TRADE
QLD1,2024/01/01 05:15:00,5690.04,38.75,TRADE
QLD1,2024/01/01 05:20:00,5659.56,38.67,TRADE
QLD1,2024/01/01 05:25:00,5712.08,38.75,TRADE
QLD1,2024/01/01 05:30:00,5667.74,38.44,TRADE
QLD1,2024/01/01 05:35:00,5669.15,38.43,TRADE
QLD1,2024/01/01 05:40:00,5641.11,38.17,TRADE
QLD1,2024/01/01 05:45:00,5642.52,34.55,TRADE
QLD1,2024/01/01 05:50:00,5649.08,22.94,TRADE
QLD1,2024/01/01 05:55:00,5646.94,10.95,TRADE
QLD1,2024/01/01 06:00:00,5591.46,10.53,TRADE
