REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024/07/01 00:05:00,5535.62,59.70,TRADE
QLD1,2024/07/01 00:10:00,5563.62,120.46,TRADE
QLD1,2024/07/01 00:15:00,5493.31,104.89,TRADE
QLD1,2024/07/01 00:20:00,5497.38,100.66,TRADE
QLD1,2024/07/01 00:25:00,5458.28,100.66,TRADE
QLD1,2024/07/01 00:30:00,5457.7,62.34,TRADE
QLD1,2024/07/01 00:35:00,5452.07,60.02,TRADE
QLD1,2024/07/01 00:40:00,5425.65,59.70,TRADE
QLD1,2024/07/01 00:45:00,5408.26,73.28,TRADE
QLD1,2024/07/01 00:50:00,5426.42,67.74,TRADE
QLD1,2024/07/01 00:55:00,5403.86,59.70,TRADE
QLD1,2024/07/01 01:00:00,5392.5,58.39,TRADE
QLD1,2024/07/01 01:05:00,5429.39,59.26,TRADE
QLD1,2024/07/01 01:10:00,5301.38,54.24,TRADE
QLD1,2024/07/01 01:15:00,5348.02,58.03,TRADE
QLD1,2024/07/01 01:20:00,5379.08,58.41,TRADE
QLD1,2024/07/01 01:25:00,5408.05,58.76,TRADE
QLD1,2024/07/01 01:30:00,5308.24,53.44,TRADE
QLD1,2024/07/01 01:35:00,5329.65,55.14,TRADE
QLD1,2024/07/01 01:40:00,5311.67,58.65,TRADE
QLD1,2024/07/01 01:45:00,5298.21,55.14,TRADE
QLD1,2024/07/01 01:50:00,5277.47,54.42,TRADE
QLD1,2024/07/01 01:55:00,5322.49,59.70,TRADE
QLD1,2024/07/01 02:00:00,5299.5,59.70,TRADE
QLD1,2024/07/01 02:05:00,5261.96,72.65,TRADE
QLD1,2024/07/01 02:10:00,5264.12,58.53,TRADE
QLD1,2024/07/01 02:15:00,5263.42,55.27,TRADE
QLD1,2024/07/01 02:20:00,5282.53,55.30,TRADE
QLD1,2024/07/01 02:25:00,5216.75,53.91,TRADE
QLD1,2024/07/01 02:30:00,5237.04,53.99,TRADE
QLD1,2024/07/01 02:35:00,5250.07,57.81,TRADE
QLD1,2024/07/01 02:40:00,5255.63,55.20,TRADE
QLD1,2024/07/01 02:45:00,5253.87,59.04,TRADE
QLD1,2024/07/01 02:50:00,5268.63,59.70,TRADE
QLD1,2024/07/01 02:55:00,5246.66,58.06,TRADE
QLD1,2024/07/01 03:00:00,5283.49,59.70,TRADE
QLD1,2024/07/01 03:05:00,5296.17,85.67,TRADE
QLD1,2024/07/01 03:10:00,5289.49,96.24,TRADE
QLD1,2024/07/01 03:15:00,5331.25,74.43,TRADE
QLD1,2024/07/01 03:20:00,5280.42,59.70,TRADE
QLD1,2024/07/01 03:25:00,5367.92,74.93,TRADE
QLD1,2024/07/01 03:30:00,5271.21,59.70,TRADE
QLD1,2024/07/01 03:35:00,5296,59.70,TRADE
QLD1,2024/07/01 03:40:00,5282.8,59.70,TRADE
QLD1,2024/07/01 03:45:00,5284.05,59.70,TRADE
QLD1,2024/07/01 03:50:00,5335.73,73.51,TRADE
QLD1,2024/07/01 03:55:00,5297.96,73.03,TRADE
QLD1,2024/07/01 04:00:00,5332.36,55.59,TRADE
QLD1,2024/07/01 04:05:00,5283.37,48.75,TRADE
QLD1,2024/07/01 04:10:00,5357.68,51.49,TRADE
QLD1,2024/07/01 04:15:00,5374.97,51.84,TRADE
QLD1,2024/07/01 04:20:00,5411.44,55.09,TRADE
QLD1,2024/07/01 04:25:00,5408.62,48.95,TRADE
QLD1,2024/07/01 04:30:00,5430.23,51.89,TRADE
QLD1,2024/07/01 04:35:00,5486.12,51.95,TRADE
QLD1,2024/07/01 04:40:00,5444.73,54.80,TRADE
